sample-id	input	filtered	denoised	merged	non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric
W-19-CP1	43153	43110	43102	290	290
W-19-HP1	25336	25258	25134	149	149
W-19-HP2	46544	46508	46471	748	748
W-19-HP3	27615	27591	27529	178	178
W-19-IPT1	20612	20566	20559	76	76
W-19-IPT2	22330	22304	22299	173	173
W-19-IPT3	43460	43424	43329	474	474
W-19-SP1	15681	15604	15561	70	70
W-19-SP2	28997	28951	28936	186	186
W-19-SP3	40408	40302	40292	250	250
